,count_of_sizes,colors,color,product_code
142,"['41', '42', '43', '44']",['GREY'],['GREY'],['FGC0180T0592A']
143,['42'],"['DNAVY', 'CAMEL', 'KHAKI']",['DNAVY'],['FGC0GF0R6821Z']
144,['40'],"['NAVY', 'GREY', 'OLIVE']",['NAVY'],['FGC0Z7040132A']
145,[],"['NAVY', 'LGREY', 'BLACK']",['NAVY'],['FGC0Y9040372A']
146,"['40', '41']","['NAVY', 'GREY', 'BLACK']",['NAVY'],['FGC0Y9040762A']
147,"['43', '44', '45']","['BLACK', 'NAVY']",['BLACK'],['FGC0Y9040732A']
148,[],"['GREY', 'TEAL', 'BLACK', 'WHITE']",['GREY'],['FGC0Y9040752A']
149,"['41', '44', '45']","['GREY_RED', 'BLACK_GREY', 'NAVY_TURQUOISE']",['GREY/RED'],['FGC0Y9040902A']
150,"['40', '41', '43', '45']","['NAVY', 'WHITE', 'BLACK']",['NAVY'],['FGC031039102A']
151,[],"['BLACK', 'WHITE', 'DGREY']",['BLACK'],['FGC0Z7041592A']
152,"['39', '40']",['NAVY'],['NAVY'],['FGC0H40W7082A']
153,['40'],"['BLACK', 'NAVY', 'RED']",['BLACK'],['FGC0DN032122A']
154,['41'],"['WHITE', 'BLACK']",['WHITE'],['FGC0Y9040772A']
155,"['40', '42', '43']","['NAVY', 'BLACK']",['NAVY'],['FGC0Z7040082A']
156,['44'],"['GREY', 'BLACK']",['GREY'],['FGC0Z7045232A']
157,[],"['BLACK', 'OLIVE_GREEN']",['BLACK'],['FGC0H4020401A']
158,"['43', '44', '45']",['GREY'],['GREY'],['FGC0C30V0672A']
159,[],"['BLUE', 'GREY']",['BLUE'],['FGC0H40U8432A']
160,"['41', '43', '45']",['NAVY'],['NAVY'],['FGC0510S0062A']
161,"['41', '42']",['GREY'],['GREY'],['FGC0260U3112A']
162,"['40', '45']","['OLIVE_BLACK', 'BLACK_WINE']",['OLIVE/BLACK'],['FGC0Y9032762A']
163,['40'],"['RED_NAVY', 'AQUA_GREY', 'LGREY_RBLUE', 'OLIVE_BLACK']",['RED/NAVY'],['FGC0Y9032772A']
164,"['43', '44']","['GREY', 'BLACK']",['GREY'],['FGC0Y9039172A']
165,[],"['OLIVE', 'NAVY', 'GREY']",['OLIVE'],['FGC0Z7039792A']
166,['40'],"['WHITE', 'NAVY', 'GREY']",['WHITE'],['FGC0Z7041622A']
167,"['42', '44']","['LKHAKI', 'BLACK']",['LKHAKI'],['FGC0260U2742A']
168,[],"['OLIVE_BLACK', 'GREY_BLUE', 'DGREY_MAROON']",['OLIVE/BLACK'],['FGC0Y9032092A']
169,['45'],"['NAVY_WHITE', 'DGREY_APPLE_GREEN', 'BLACK_RED']",['NAVY/WHITE'],['FGC0Y9040952A']
170,"['44', '45']","['GREY', 'NAVY']",['GREY'],['FGC0DY0T7782A']
171,[],"['GREY', 'BLACK']",['GREY'],['FGC0510R2052A']
172,[],"['BLACK', 'GREY']",['BLACK'],['FGC0Y9037612A']
173,[],"['NAVY', 'GREY']",['NAVY'],['FGC0Z7041562A']
174,"['44', '45']",['GREY_GREEN'],['GREY/GREEN'],['FGC0EM0S0162A']
175,[],"['WHITE', 'GREY']",['WHITE'],['FGC0Z7040102A']
176,['44'],['TAUPE'],['TAUPE'],['FGC0150S0122A']
177,['44'],['BROWN'],['BROWN'],['FGC0DY0S0082A']
178,[],"['PARIS_KHAKI', 'DNAVY_4', 'DBROWN']",['PARIS KHAKI'],['FGC0L4033131A']
179,['44'],"['DUBAI_KHAKI', 'BLACK', 'OLIVE_GREEN', 'CAMEL']",['DUBAI KHAKI'],['FGC0L4037301A']
180,[],"['NAVY', 'BLACK']",['NAVY'],['FGC0Y9032792A']
181,[],"['BLACK', 'DGREY']",['BLACK'],['FGC0Z7041652A']
