,product_code,n_reviews,quality,star_rating,Size,comfort
541,DZ7260-400,4.0,66.67,4.8,50.0,100.0
542,FD5088-001,10.0,54.0,4.9,43.0,65.0
543,DV2629-005,150.0,50.67,4.8,50.0,100.0
544,FB2372-100,2.0,75.0,5,50.0,75.0
545,FB2392-900,,,,,
546,FN0708-400,0.0,,0,,
547,DH3050-100,91.0,,4.7,,
548,FN7105-030,58.0,73.94,4.7,49.0,78.0
549,FD6694-001,0.0,,0,,
550,AV3918-102,22.0,75.0,4.8,50.0,100.0
551,,,,,,
552,AQ1779-100,16.0,47.17,4.4,50.0,79.0
553,FJ3448-200,0.0,,0,,
554,DQ7688-170,4.0,58.33,5,50.0,100.0
555,DV4462-600,1.0,75.0,5,50.0,100.0
556,FJ2708-001,0.0,,0,,
557,CW2386-603,456.0,41.07,4.7,43.0,80.0
558,FN6838-012,5.0,63.33,4.6,30.0,80.0
559,FJ2985-001,3.0,75.0,5,50.0,100.0
560,FV4145-001,3.0,89.0,5,67.0,100.0
561,DA1349-004,78.0,45.5,4.1,25.0,66.0
562,,,,,,
563,,,,,,
