,ShoeName,Category,no_colors,price_reduce,price,product_code
279,Air Jordan 5 x A Ma Maniére,Women,1.0,225.0,225.0,FZ5758-004
280,Nike Zoom Vomero 5 Premium,Women,1.0,160.0,160.0,
281,Nike Hyperdiamond 4 Elite,Women,6.0,95.0,95.0,CZ5917-600
282,Nike Rival Multi,Women,4.0,75.0,75.0,DC8749-101
283,Nike Fury,Women,5.0,76.97,90.0,AO2416-101
284,Nike Air Zoom HyperAce 2 SE,Women,2.0,106.97,125.0,DM8199-064
285,Nike Space Hippie 04,Women,2.0,94.97,135.0,DA2725-301
286,Luka 2 Team Bank,Women,3.0,130.0,130.0,FN7400-140
287,Converse Chuck Taylor All Star High Top,Women,3.0,65.0,65.0,M9622-410
288,Nike SB Zoom Pogo Plus Premium,Women,6.0,85.97,95.0,DX6915-300
289,Nike Dunk Low Unlocked By You,Women,1.0,160.0,160.0,FJ2253-901
290,Nike Cortez TXT,Women,1.0,90.0,90.0,DZ2795-001
291,Nike Air Max 2017,Women,1.0,190.0,190.0,849560-001
292,Nike Cortez TXT,Women,3.0,90.0,90.0,DZ2795-700
293,Nike SB Bruin High,Women,5.0,64.97,90.0,DR0126-600
294,Nike ISPA Sense Flyknit,Women,3.0,150.97,200.0,CW3203-600
295,NikeCourt Air Zoom GP Turbo Naomi Osaka Premium,Women,1.0,127.97,150.0,FN5714-001
296,Nike Spark Flyknit,Women,1.0,92.97,185.0,DD1901-600
297,Nike Precision 6,Women,4.0,68.97,80.0,DD9535-005
298,Jordan Hex Mule SP,Women,6.0,65.0,65.0,FD2652-002
299,Nike Air Max Solo,Women,6.0,100.0,100.0,FN0784-004
300,Nike Air Force 1 '07 Mid,Women,7.0,88.97,130.0,DZ5211-100
301,Nike SuperRep Cycle 2 Next Nature,Women,6.0,90.97,120.0,DH3395-102
302,Nike Dunk Low By Kamryn,Women,1.0,150.0,150.0,FN0569-900
303,Nike ACG Mountain Fly Low SE,Women,1.0,150.0,150.0,DQ1979-500
304,Nike Bella Kai,Women,3.0,35.0,35.0,AO3622-002
305,KD16 By You,Women,4.0,190.0,190.0,FB2390-900
306,Nike G.T. Jump 2,Women,3.0,153.97,180.0,DJ9431-001
307,Nike Zoom HyperAce 2,Women,4.0,120.0,120.0,AA0286-106
308,Nike Dunk High Warped Unlocked By You,Women,6.0,165.0,165.0,FJ8900-900
309,Nike Air Max Dawn,Women,3.0,80.97,115.0,DX5655-500
310,Nike Full Force Low,Women,3.0,71.97,95.0,FB1362-100
311,Nike Dunk Low By Talisha,Women,1.0,150.0,150.0,FN0569-900
312,Nike G.T. Cut 2,Women,5.0,144.97,170.0,DJ6015-603
313,Dunk High Warped Unlocked By You Greatest Gift,Women,1.0,165.0,165.0,FJ8900-900
314,NikeCourt Air Zoom Lite 3,Women,3.0,56.97,70.0,DV3279-102
315,Nike Air More Uptempo SE,Women,1.0,135.97,180.0,DV7408-100
316,Nike Alpha Huarache Elite 4 Low (Team),Women,2.0,95.0,95.0,DR6851-100
317,Nike Blazer Mid '77 Next Nature,Women,1.0,78.97,105.0,DQ4124-105
318,Nike InfinityRN 4 By You,Women,6.0,190.0,190.0,DX5048-600
319,Nike Air Max 1 '87 Safari,Women,1.0,150.0,150.0,FB5059-100
320,Nike ACG Air Deschutz+ SE,Women,5.0,85.0,85.0,DR1020-400
321,Nike Dunk Low By You,Women,6.0,150.0,150.0,FN0569-900
322,Nike Dunk Low By Naomi,Women,1.0,150.0,150.0,FN0569-900
323,Kobe 6 Protro,Women,1.0,190.0,190.0,
324,Nike Pegasus Trail 4 By You,Women,3.0,170.0,170.0,FB5057-900
325,Nike Court Vision Low,Women,4.0,80.0,80.0,CD5434-001
326,Nike Dunk Low By Emily,Women,1.0,150.0,150.0,FN0569-900
327,Converse Custom Chuck Taylor All Star High Top,Women,1.0,85.0,85.0,CU1722-960
328,Nike Pegasus 38,Women,2.0,75.97,120.0,CW7358-601
329,Nike Air VaporMax Moc Roam,Women,2.0,220.0,220.0,
330,Nike Zoom Winflo 8 Shield,Women,1.0,77.97,110.0,DC3730-001
331,"Luka 2 ""Caves""",Women,1.0,130.0,130.0,DX9013-008
332,Nike G.T. Cut 2 (Team),Women,4.0,144.97,170.0,FJ8915-400
333,Converse x TURBODRK Chuck 70 Laceless,Women,1.0,170.0,170.0,A05685C-650
